gene1	gene2	SP
YQE_06742	YQE_07652	0.995
YQE_06742	YQE_06954	0.995
YQE_06742	YQE_09887	0.995
YQE_06742	YQE_05662	0.995
YQE_06742	YQE_04648	0.995
YQE_06742	YQE_11555	0.995
YQE_06742	YQE_08468	0.995
YQE_06742	YQE_12119	0.995
YQE_02257	YQE_02259	0.995
YQE_02257	YQE_03162	0.995
YQE_02257	YQE_12518	0.995
YQE_02257	YQE_12932	0.995
YQE_02257	YQE_01985	0.995
YQE_02257	YQE_08467	0.995
YQE_02259	YQE_07652	0.995
YQE_02259	YQE_06954	0.995
YQE_02259	YQE_09887	0.995
YQE_02259	YQE_05662	0.995
YQE_02259	YQE_04648	0.995
YQE_02259	YQE_11555	0.995
YQE_02259	YQE_08468	0.995
YQE_02259	YQE_12119	0.995
YQE_03162	YQE_07652	0.995
YQE_03162	YQE_06954	0.995
YQE_03162	YQE_09887	0.995
YQE_03162	YQE_05662	0.995
YQE_03162	YQE_04648	0.995
YQE_03162	YQE_11555	0.995
YQE_03162	YQE_08468	0.995
YQE_03162	YQE_12119	0.995
YQE_07652	YQE_12518	0.995
YQE_07652	YQE_12932	0.995
YQE_07652	YQE_01985	0.995
YQE_07652	YQE_08467	0.995
YQE_09044	YQE_12127	0.995
YQE_06954	YQE_12518	0.995
YQE_06954	YQE_12932	0.995
YQE_06954	YQE_01985	0.995
YQE_06954	YQE_08467	0.995
YQE_09887	YQE_12518	0.995
YQE_09887	YQE_12932	0.995
YQE_09887	YQE_01985	0.995
YQE_09887	YQE_08467	0.995
YQE_09887	YQE_12107	0.995
YQE_12518	YQE_05662	0.995
YQE_12518	YQE_04648	0.995
YQE_12518	YQE_11555	0.995
YQE_12518	YQE_08468	0.995
YQE_12518	YQE_12119	0.995
YQE_05662	YQE_12932	0.995
YQE_05662	YQE_01985	0.995
YQE_05662	YQE_08467	0.995
YQE_04648	YQE_12932	0.995
YQE_04648	YQE_01985	0.995
YQE_04648	YQE_08467	0.995
YQE_12932	YQE_11555	0.995
YQE_12932	YQE_08468	0.995
YQE_12932	YQE_12119	0.995
YQE_11555	YQE_01985	0.995
YQE_11555	YQE_08467	0.995
YQE_01985	YQE_08468	0.995
YQE_01985	YQE_12119	0.995
YQE_08467	YQE_08468	0.995
YQE_08467	YQE_12119	0.995
YQE_08171	YQE_03297	0.994
YQE_00457	YQE_01487	0.994
YQE_09922	YQE_05577	0.994
YQE_03344	YQE_01203	0.994
YQE_12580	YQE_00681	0.994
YQE_02811	YQE_03339	0.994
YQE_01541	YQE_03005	0.994
YQE_01202	YQE_01450	0.994
YQE_01487	YQE_04220	0.994
YQE_01487	YQE_00343	0.994
YQE_10920	YQE_00367	0.994
YQE_11637	YQE_05068	0.994
YQE_02411	YQE_05115	0.994
YQE_04907	YQE_04059	0.994
YQE_03969	YQE_04593	0.994
YQE_01886	YQE_12453	0.994
YQE_02759	YQE_03014	0.994
YQE_05175	YQE_00223	0.994
YQE_01545	YQE_01197	0.994
YQE_01545	YQE_04712	0.994
YQE_01545	YQE_04714	0.994
YQE_01479	YQE_01477	0.994
YQE_03005	YQE_05061	0.994
YQE_09688	YQE_01546	0.994
YQE_01942	YQE_04256	0.994
YQE_09821	YQE_02471	0.994
YQE_01288	YQE_01387	0.994
YQE_00044	YQE_00901	0.993
YQE_00909	YQE_08219	0.992
YQE_00884	YQE_06313	0.992
YQE_00884	YQE_01935	0.992
YQE_00884	YQE_11924	0.992
YQE_00884	YQE_05845	0.992
